address,lat,lon
"Jalan Binjai, KL City, Kuala Lumpur",3.1577071,101.7183463
"Jalan Klang Lama, Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3.0925535,101.6751405
"Persiaran Sultan Ismail, KLCC, Kuala Lumpur",3.147233,101.7118992
"Persiaran Capsquare, Capital Square, Dang Wangi, KL City, Kuala Lumpur",3.1541815,101.7001324
"Bangsar, Kuala Lumpur",3.12901,101.6797838
"cheras, Cheras, Kuala Lumpur",3.1068447,101.7259197
"Cheras, Kuala Lumpur",3.1068447,101.7259197
"Jalan Riang Ria 8, Kuchai Lama, Kuala Lumpur",3.0815115,101.688953
"Jalan Gombak Sejahtera, Setapak, Setapak, Kuala Lumpur",3.1980421,101.7052457
"Jalan Prima Pelangi 1, Bukit Prima Pelangi, Segambut, Kuala Lumpur",3.178022,101.6465911
"Jalan 3/109c3, Taman Abadi Indah, Taman Desa, Taman Desa, Kuala Lumpur",3.0956728,101.6839211
"3111 Jalan Riang, Taman Gembira. Kuchai Lama, Kuchai Lama, Kuala Lumpur",3.0836069,101.6877335
"Jalan Ipoh, Jalan Ipoh, Kuala Lumpur",3.1799408,101.6835825
"Jalan Desa Utama Taman Desa, Kuala Lumpur, Taman Desa, Kuala Lumpur",3.1033428,101.683733
"1a Jalan Metro Wangsa, Wangsa Maju, Kuala Lumpur",3.2054764,101.7356899
"mont kiara, Mont Kiara, Kuala Lumpur",3.168469,101.6511722
"Kepong, Kuala Lumpur",3.213966,101.6355931
"Desa Pandan, Kuala Lumpur",3.14701,101.7373432
"Jalan Syers, Bukit Tunku, Kenny Hills (Bukit Tunku), Kuala Lumpur",3.1699131,101.6839958
"Jalan Mayang, KLCC, Kuala Lumpur",3.1606214,101.7129177
"Jalan Ampang Hilir Off Embassy Row, Kuala Lumpur, Ampang Hilir, Kuala Lumpur",3.15811,101.738256
"Jalan Bukit Pantai, Pantai, Kuala Lumpur",3.1200844,101.6664435
"78 Lorong Ampang 2, Off Jalan Ampang, Ampang Hilir, Ampang Hilir, Kuala Lumpur",3.1606066,101.7297454
